samples,mean_incremental_ev,standard_error,confidence_interval_95_low,confidence_interval_95_high,recommended_decision,player_cards_before_hit,pre_hit_total,pre_hit_soft,bust_card,busted_total,dealer_upcard,split_hand,doubled,double_available
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-2,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-2,14,False,8,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-2-A,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-2-A,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-3,15,False,10,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-3,15,False,7,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-3,15,False,7,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-4,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-4,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-4,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-4,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-4,16,False,9,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-6-A,13,False,10,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-2,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-2,15,False,7,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-2,15,False,7,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-2,15,False,8,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-3,16,False,9,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-A,14,False,10,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-A,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-A,14,False,8,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-A-2,16,False,9,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-7-A-A,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-8-2,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-8-A,15,False,10,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-8-A,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-8-A,15,False,7,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-8-A,15,False,9,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-9-A,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-9-A,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-9-A,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-9-A,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-9-A,16,False,9,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5,12,False,10,22,2,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5,12,False,10,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5,12,False,10,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5-2,14,False,10,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5-3,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5-4,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5-A,13,False,10,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-5-A,13,False,10,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-6,13,False,10,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-6,13,False,10,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-6-A,14,False,10,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-7,14,False,10,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-7,14,False,9,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-7-2,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-8,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-8,15,False,7,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-8,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-8,15,False,9,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-9,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-9,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-9,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-A-8,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,6-A-A-8,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-2-4,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-2-5,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-2-5,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-2-5,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-3,12,False,10,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-3,12,False,10,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-3-2,14,False,10,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-3-4,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-4,13,False,10,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-4-2,15,False,9,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-4-3,16,False,6,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-4-A,14,False,10,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-5,14,False,10,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-5-2,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-5-2,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-6,15,False,10,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-6,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-6,15,False,8,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-7,16,False,6,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-2-7,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-2,12,False,10,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-2-3,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-2-4,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-3-3,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-4,14,False,10,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-4-2,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-5,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-5,15,False,9,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-5-A,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-6,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-6,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-3-6,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5,12,False,10,22,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2,14,False,10,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2,14,False,8,22,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2,14,False,8,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2,14,False,9,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2-2,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-2-2,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-3,15,False,7,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-3,15,False,8,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-3,15,False,9,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-3,15,False,9,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-3,15,False,9,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,6,22,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,8,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-4,16,False,9,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-A,13,False,10,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-5-A,13,False,9,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-2,15,False,10,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-2,15,False,7,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,6,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,7,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,8,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,8,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-3,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-A,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-A,14,False,8,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-A,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-6-A-2,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-2,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-2,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-A,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-A,15,False,7,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-A,15,False,7,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-A,15,False,9,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-7-A-A,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8,15,False,8,23,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8,15,False,8,23,8,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8,15,False,9,24,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8-A,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8-A,16,False,6,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-8-A,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-9,16,False,10,26,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-9,16,False,6,22,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-9,16,False,9,25,7,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-4-3,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-5-3,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-5-A,14,False,8,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-5-A,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-6,14,False,8,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-6,14,False,8,22,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,7,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,8,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,8,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,9,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7,15,False,9,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-7-A,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-8,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-8,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-8,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,7-A-8,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-2-A,13,False,10,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-3,13,False,10,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-3,13,False,10,23,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-3-A,14,False,10,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-4,14,False,9,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-4-2,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-5,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-5,15,False,7,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-5,15,False,7,22,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-5-A,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-6,16,False,10,26,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-6,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-2-6,16,False,7,23,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-2,14,False,10,24,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-2,14,False,10,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-2,14,False,9,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-2-2,16,False,10,26,9,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-2-A,15,False,10,25,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3,15,False,10,25,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3,15,False,8,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3-A,16,False,10,26,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3-A,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-3-A,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,10,26,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,10,26,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,10,26,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,10,26,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,7,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,8,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-4,16,False,9,25,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A,13,False,10,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A,13,False,9,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A-2,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A-2,15,False,10,25,9,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A-3,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-4-A-A,14,False,9,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5,13,False,10,23,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5,13,False,9,22,10,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5,13,False,9,22,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5,13,False,9,22,8,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2,15,False,10,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2,15,False,7,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2,15,False,8,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2,15,False,9,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-2-A,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-3,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-3,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-3,16,False,6,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-3,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-A,14,False,8,22,8,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-A-A,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-5-A-A,15,False,8,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6,14,False,8,22,10,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6,14,False,8,22,9,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6,14,False,9,23,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6,14,False,9,23,A,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-2,16,False,6,22,7,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-2,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-2,16,False,7,23,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-2,16,False,7,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-A,15,False,10,25,10,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-A,15,False,10,25,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-6-A,15,False,10,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,10,25,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,7,22,10,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,7,22,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,7,22,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,7,22,A,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,8,23,7,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,8,23,9,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7,15,False,8,23,A,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7-A,16,False,10,26,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7-A,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7-A,16,False,10,26,9,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,8-7-A,16,False,10,26,A,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3,12,False,10,22,9,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-2,14,False,9,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-2-2,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-2-A,15,False,8,23,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-3,15,False,10,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-3,15,False,10,25,8,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-3,15,False,9,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,10,26,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,6,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,8,24,7,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,8,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-4,16,False,9,25,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-A,13,False,10,23,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-A,13,False,9,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-A,13,False,9,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-3-A-A-2,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4,13,False,10,23,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4,13,False,9,22,7,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4,13,False,9,22,8,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-2,15,False,7,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-2,15,False,8,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-3,16,False,6,22,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-3,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-3,16,False,7,23,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-3,16,False,7,23,9,True,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-3,16,False,8,24,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-A,14,False,8,22,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-A,14,False,8,22,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-A-2,16,False,7,23,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-4-A-A,15,False,10,25,9,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-5,14,False,8,22,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-5-2,16,False,8,24,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-5-2,16,False,9,25,10,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-5-2,16,False,9,25,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-5-A,15,False,9,24,A,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-6,15,False,7,22,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-6,15,False,9,24,9,False,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-6-A,16,False,7,23,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-6-A,16,False,8,24,8,False,False,False
1,-0.5,0.0,-0.5,-0.5,uncertain,9-7,16,False,10,26,8,True,False,True
1,-0.5,0.0,-0.5,-0.5,uncertain,9-7,16,False,7,23,A,False,False,True
